date,strategy,spy_calibrated_rf_pred,tlt_calibrated_rf_pred,spy_rf_uncertainty,tlt_rf_uncertainty,spy_unc_scaled,tlt_unc_scaled,spy_price_ma5_gap,spy_price_ma20_gap,spy_ret_lag1,spy_ret_lag5,w_spy,w_tlt,w_cash,turnover,transaction_cost,gross_return,net_return,portfolio_value,drawdown
2024-05-06,Static 60/40,,,,,,,,,,,0.6,0.4,0.0,0.0,0.0,0.00309353678998904,0.00309353678998904,1.0030935367899891,0.0
2024-05-07,Static 60/40,,,,,,,,,,,0.6,0.4,0.0,0.0,0.0,-0.002373742104215061,-0.002373742104215061,1.0007124514272447,-0.0023737421042150375
2024-05-08,Static 60/40,,,,,,,,,,,0.6,0.4,0.0,0.0,0.0,0.00539391257181834,0.00539391257181834,1.0061102068997734,0.0
2024-05-09,Static 60/40,,,,,,,,,,,0.6,0.4,0.0,0.0,0.0,-0.0014849752363783,-0.0014849752363783,1.0046161581574597,-0.0014849752363783608
2024-05-10,Static 60/40,,,,,,,,,,,0.6,0.4,0.0,0.0,0.0,0.0011000947727183598,0.0011000947727183598,1.0057213311416373,-0.00038651407715495356
2024-05-13,Static 60/40,,,,,,,,,,,0.6,0.4,0.0,0.0,0.0,0.00499830230003546,0.00499830230003546,1.0107482303842774,0.0
2024-05-14,Static 60/40,,,,,,,,,,,0.6,0.4,0.0,0.0,0.0,0.01280605691721432,0.01280605691721432,1.023691929751552,0.0
2024-05-15,Static 60/40,,,,,,,,,,,0.6,0.4,0.0,0.0,0.0,-0.00162678995689514,-0.00162678995689514,1.0220265980012777,-0.001626789956895136
2024-05-16,Static 60/40,,,,,,,,,,,0.6,0.4,0.0,0.0,0.0,-0.0018424902922136604,-0.0018424902922136604,1.0201435239160763,-0.0034662829044055377
2024-05-17,Static 60/40,,,,,,,,,,,0.6,0.4,0.0,0.0,0.0,-0.0004925716693175202,-0.0004925716693175202,1.0196410301175576,-0.003957147180966514
2024-05-20,Static 60/40,,,,,,,,,,,0.6,0.4,0.0,0.0,0.0,0.0035274216344705605,0.0035274216344705605,1.0232377339465881,-0.0004436840730728253
