date,strategy,spy_calibrated_rf_pred,tlt_calibrated_rf_pred,spy_rf_uncertainty,tlt_rf_uncertainty,spy_unc_scaled,tlt_unc_scaled,spy_price_ma5_gap,spy_price_ma20_gap,spy_ret_lag1,spy_ret_lag5,w_spy,w_tlt,w_cash,turnover,transaction_cost,gross_return,net_return,portfolio_value,drawdown
2024-05-06,100% SPY,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.001102945046153,0.001102945046153,1.001102945046153,0.0
2024-05-07,100% SPY,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,9.671276347029812e-05,9.671276347029812e-05,1.0011997644784867,0.0
2024-05-08,100% SPY,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0057453918445899,0.0057453918445899,1.0069520494401267,0.0
2024-05-09,100% SPY,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0012872148354177,0.0012872148354177,1.0082482130567203,0.0
2024-05-10,100% SPY,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0001342534387056,0.0001342534387056,1.008383573846392,0.0
2024-05-13,100% SPY,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0045778803981457,0.0045778803981457,1.0129998332429155,0.0
2024-05-14,100% SPY,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.01230674701843,0.01230674701843,1.025466565920348,0.0
2024-05-15,100% SPY,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,-0.0020595463332229,-0.0020595463332229,1.023354570014664,-0.002059546333222917
2024-05-16,100% SPY,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0014366012894223,0.0014366012894223,1.0248247225094833,-0.0006259037907184739
2024-05-17,100% SPY,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0011515005622798,0.0011515005622798,1.0260048087536913,0.0
2024-05-20,100% SPY,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0024494134752486,0.0024494134752486,1.0285179187579225,0.0
2024-05-21,100% SPY,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,-0.002883445586635,-0.002883445586635,1.025552243304305,-0.002883445586635003
2024-05-22,100% SPY,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,-0.0073310794489993,-0.0073310794489993,1.0180338383295415,-0.010193386266951987
2024-05-23,100% SPY,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0065945989929687,0.0065945989929687,1.0247473632545976,-0.003666008568794177
2024-05-24,100% SPY,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.000698601361964,0.000698601361964,1.0254632531582364,-0.0029699682854091858
2024-05-28,100% SPY,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,-0.0070270871166535,-0.0070270871166535,1.0182572335433666,-0.009976185176187369
2024-05-29,100% SPY,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,-0.0066558050403558,-0.0066558050403558,1.0114799119159699,-0.016565590672964037
2024-05-30,100% SPY,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0090668483612123,0.0090668483612123,1.0206508468977245,-0.007648940010397398
2024-05-31,100% SPY,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0008150657972758,0.0008150657972758,1.0214827444939913,-0.006840108602509498
2024-06-03,100% SPY,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0011173541347995,0.0011173541347995,1.022624102462178,-0.005730397291339395
2024-06-04,100% SPY,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0118149745721772,0.0118149745721772,1.034706380229664,0.0
2024-06-05,100% SPY,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,-1.882638975792999e-05,-1.882638975792999e-05,1.0346869004440649,-1.8826389757919948e-05
2024-06-06,100% SPY,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,-0.0012163978366757,-0.0012163978366757,1.033428309536728,-0.0012352013260538142
2024-06-07,100% SPY,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0030850293585066,0.0030850293585066,1.0366164662115607,0.0
2024-06-10,100% SPY,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0024054409931384,0.0024054409931384,1.0391099859535482,0.0
2024-06-11,100% SPY,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0081794203951084,0.0081794203951084,1.0476093033654175,0.0
2024-06-12,100% SPY,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0020115084408902,0.0020115084408902,1.0497165783218922,0.0
2024-06-13,100% SPY,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0006082509034041,0.0006082509034041,1.0503550693789747,0.0
2024-06-14,100% SPY,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0079272604761739,0.0079272604761739,1.0586815076064116,0.0
2024-06-17,100% SPY,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0025377113499828,0.0025377113499828,1.0613681356842812,0.0
2024-06-18,100% SPY,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,-0.0027204558888839,-0.0027204558888839,1.0584807304892851,-0.0027204558888839214
2024-06-20,100% SPY,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,-0.001341376914791,-0.001341376914791,1.0570609088726557,-0.004058183646947877
2024-06-21,100% SPY,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,-0.0032560363199116,-0.0032560363199116,1.0536190801610077,-0.007301006373512053
2024-06-24,100% SPY,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0038436820468714,0.0038436820468714,1.0576688569036639,-0.003485387073762447
