date,strategy,spy_calibrated_rf_pred,tlt_calibrated_rf_pred,spy_rf_uncertainty,tlt_rf_uncertainty,spy_unc_scaled,tlt_unc_scaled,spy_price_ma5_gap,spy_price_ma20_gap,spy_ret_lag1,spy_ret_lag5,w_spy,w_tlt,w_cash,turnover,transaction_cost,gross_return,net_return,portfolio_value,drawdown
2024-05-06,Naive Vol Target,0.0671359828789236,,,,,,,,,,0.9,0.09999999999999998,0.0,0.30000000000000004,0.00030000000000000003,0.0016005929821120098,0.00130059298211201,1.001300592982112,0.0
2024-05-07,Naive Vol Target,0.0667415314669915,,,,,,,,,,0.9,0.09999999999999998,0.0,0.0,0.0,-0.0005209009534510416,-0.0005209009534510416,1.0007790145485365,-0.0005209009534510312
2024-05-08,Naive Vol Target,0.0667415314669915,,,,,,,,,,0.9,0.09999999999999998,0.0,0.0,0.0,0.00565752202639701,0.00565752202639701,1.0064409438669006,0.0
2024-05-09,Naive Vol Target,0.0667415314669915,,,,,,,,,,0.9,0.09999999999999998,0.0,0.0,0.0,0.0005941673174687,0.0005941673174687,1.0070389381827087,0.0
2024-05-10,Naive Vol Target,0.0667415314669915,,,,,,,,,,0.9,0.09999999999999998,0.0,0.0,0.0,0.0003757137722087899,0.0003757137722087899,1.0074172965809345,0.0
2024-05-13,Naive Vol Target,0.0667415314669915,,,,,,,,,,0.9,0.09999999999999998,0.0,0.0,0.0,0.00468298587361814,0.00468298587361814,1.0121350175496615,0.0
2024-05-14,Naive Vol Target,0.0667415314669915,,,,,,,,,,0.9,0.09999999999999998,0.0,0.0,0.0,0.01243157449312608,0.01243157449312608,1.0247174494174316,0.0
2024-05-15,Naive Vol Target,0.0706153575047338,,,,,,,,,,0.9,0.09999999999999998,0.0,0.0,0.0,-0.00195135723914096,-0.00195135723914096,1.0227178596044368,-0.0019513572391409717
2024-05-16,Naive Vol Target,0.0667415314669915,,,,,,,,,,0.9,0.09999999999999998,0.0,0.0,0.0,0.0006168283940133101,0.0006168283940133101,1.0233487010193054,-0.0013357324976795981
2024-05-17,Naive Vol Target,0.0667415314669915,,,,,,,,,,0.9,0.09999999999999998,0.0,0.0,0.0,0.00074048250438047,0.00074048250438047,1.0241064728282907,-0.0005962390798441852
2024-05-20,Naive Vol Target,0.0667415314669915,,,,,,,,,,0.9,0.09999999999999998,0.0,0.0,0.0,0.0027189155150540902,0.0027189155150540902,1.0268909318063308,0.0
2024-05-21,Naive Vol Target,0.0667415314669915,,,,,,,,,,0.9,0.09999999999999998,0.0,0.0,0.0,-0.00247505313533818,-0.00247505313533818,1.0243493221859132,-0.0024750531353381344
2024-05-22,Naive Vol Target,0.0684400731087864,,,,,,,,,,0.9,0.09999999999999998,0.0,0.0,0.0,-0.00724343061919378,-0.00724343061919378,1.0169295189408414,-0.009700555878867312
2024-05-23,Naive Vol Target,0.0806324950681084,,,,,,,,,,0.9,0.09999999999999998,0.0,0.0,0.0,0.00623100325744721,0.00623100325744721,1.023266010085956,-0.003529996816700298
