SPY_UNCERTAINTY_PENALTY,TLT_UNCERTAINTY_PENALTY,REBALANCE_THRESHOLD,SMOOTHING_LAMBDA,MOMENTUM_STRENGTH,RELATIVE_STRENGTH,DRAWDOWN_SENSITIVITY,REENTRY_STRENGTH,CASH_PENALTY,strategy,n_days,annualised_return,annualised_volatility,target_vol_gap,sharpe_ratio,max_drawdown,ending_value,avg_daily_turnover,total_turnover,avg_daily_cost,total_cost,avg_spy_weight,avg_tlt_weight,avg_cash_weight,score
0.1,0.2,0.05,0.2,0.2,0.3,0.5,0.1,0.02,Dynamic Strategy,712,-0.0015183881926810194,0.10791724893976289,0.00791724893976288,-0.014069930503218734,-0.24909161509864608,0.9957158936177984,0.01593973516497003,11.349091437458661,1.593973516497003e-05,0.011349091437458662,0.6434229018372191,0.18487259206623036,0.17170450609655064,-0.5339505449019143
0.1,0.2,0.05,0.2,0.3,0.3,0.5,0.1,0.02,Dynamic Strategy,712,-0.0015183881926810194,0.10791724893976289,0.00791724893976288,-0.014069930503218734,-0.24909161509864608,0.9957158936177984,0.01593973516497003,11.349091437458661,1.593973516497003e-05,0.011349091437458662,0.6434229018372191,0.18487259206623036,0.17170450609655064,-0.5339505449019143
0.1,0.2,0.05,0.2,0.2,0.3,0.5,0.1,0.05,Dynamic Strategy,712,-0.0038911660979296103,0.10892212198727735,0.008922121987277348,-0.035724295734746316,-0.2543745218034438,0.9890449149289248,0.01597809378531759,11.376402775146124,1.5978093785317588e-05,0.011376402775146123,0.6424652957077078,0.19580833328160735,0.16172637101068485,-0.6277248695590824
0.1,0.2,0.05,0.2,0.3,0.3,0.5,0.1,0.05,Dynamic Strategy,712,-0.0038911660979296103,0.10892212198727735,0.008922121987277348,-0.035724295734746316,-0.2543745218034438,0.9890449149289248,0.01597809378531759,11.376402775146124,1.5978093785317588e-05,0.011376402775146123,0.6424652957077078,0.19580833328160735,0.16172637101068485,-0.6277248695590824
