date,spy_open,spy_high,spy_low,spy_close,spy_volume,spy_adj_close,tlt_open,tlt_high,tlt_low,tlt_volume,tlt_adj_close,vix_close
2002-07-30,89.31999969482422,91.4000015258789,88.72000122070312,90.94000244140624,47532200,58.84269714355469,81.75,81.9000015258789,81.5199966430664,6100,36.24284744262695,31.920000076293945
2002-07-31,90.48999786376952,91.5500030517578,89.25,91.16000366210938,44669900,58.98504638671875,81.94999694824219,82.80000305175781,81.9000015258789,29400,36.691871643066406,32.029998779296875
2002-08-01,90.87999725341795,91.3499984741211,88.33000183105469,88.77999877929688,66571900,57.4450798034668,82.54000091552734,83.0199966430664,82.54000091552734,25000,36.90082931518555,36.95000076293945
2002-08-02,88.5,88.91000366210938,85.62000274658203,86.79000091552734,51772900,56.15742874145508,83.16000366210938,84.0999984741211,82.87999725341797,52800,37.27873611450195,41.290000915527344
2002-08-05,86.48999786376953,86.93000030517578,83.55000305175781,83.7699966430664,47191300,54.20331573486328,84.04000091552734,84.44000244140625,83.8499984741211,61100,37.44322204589844,45.08000183105469
2002-08-06,85.2300033569336,87.9000015258789,85.11000061035156,86.58999633789062,64730000,56.02802658081055,83.87000274658203,83.9000015258789,83.22000122070312,64900,37.12314224243164,42.029998779296875
2002-08-07,87.87000274658203,88.5,85.7699966430664,88.0999984741211,43289400,57.00507736206055,83.5999984741211,84.13999938964844,83.36000061035156,40300,37.21204376220703,38.72999954223633
2002-08-08,88.41999816894531,91.0999984741211,87.80000305175781,90.9499969482422,48339800,58.84918212890625,83.58000183105469,83.7699966430664,83.36000061035156,40900,37.21204376220703,36.33000183105469
2002-08-09,90.0999984741211,91.94000244140624,89.3499984741211,91.29000091552734,41879200,59.069129943847656,84.0,84.87999725341797,84.0,35900,37.73664474487305,35.33000183105469
2002-08-12,89.98999786376953,91.2699966430664,89.55000305175781,90.62000274658205,25841700,58.63566589355469,85.30000305175781,86.69999694824219,85.13999938964844,32100,37.96786117553711,37.04999923706055
2002-08-13,90.1500015258789,91.66000366210938,88.6500015258789,88.97000122070312,49690500,57.567996978759766,85.77999877929688,86.47000122070312,85.37000274658203,75400,38.43467712402344,35.81999969482422
