strategy,n_days,annualised_return,annualised_volatility,target_vol_gap,sharpe_ratio,max_drawdown,ending_value,avg_daily_turnover,total_turnover,avg_daily_cost,total_cost,avg_spy_weight,avg_tlt_weight,avg_cash_weight
Dynamic Strategy,475,0.0535056415319852,0.0981714660107616,0.0018285339892383,0.5450223339449762,-0.1214720521385671,1.1032366861306009,0.0200752935412535,9.535764432095432,2.0075293541253547e-05,0.0095357644320954,0.7005501224320241,0.1794957007929973,0.1199541767749786
Static 60/40,475,0.0762931281020347,0.1154139558598515,0.0154139558598515,0.6610390184933811,-0.1319248252703684,1.148647007274422,0.0,0.0,0.0,0.0,0.5999999999999999,0.4000000000000001,0.0
Naive Vol Target,475,0.0323681057339031,0.1105364321947766,0.0105364321947765,0.2928274876546332,-0.1669619079536625,1.0618840148802775,0.0547540197402673,26.008159376626992,5.4754019740267355e-05,0.0260081593766269,0.7706823230019104,0.2293176769980898,0.0
100% SPY,475,0.1117751981909171,0.1663826792734168,0.0663826792734168,0.6717958785075031,-0.1920897927995889,1.221063804662801,0.0,0.0,0.0,0.0,1.0,0.0,0.0
