asset,model,precision,recall,f1,actual_warning_rate,pred_warning_rate
SPY,Baseline,0.6719101123595506,0.6659242761692651,0.668903803131991,0.37826453243470937,0.37489469250210616
SPY,ETS,0.6207674943566591,0.6124721603563474,0.6165919282511211,0.37826453243470937,0.37320977253580456
SPY,ARIMA,0.6138392857142857,0.6124721603563474,0.6131549609810479,0.37826453243470937,0.37742207245155857
SPY,"GARCH(1,1)",0.6434108527131783,0.7394209354120267,0.6880829015544041,0.37826453243470937,0.43470935130581295
SPY,Random Forest,0.7476415094339622,0.7060133630289532,0.7262313860252004,0.37826453243470937,0.35720303285593935
SPY,Stacked (RF+GARCH),0.7476415094339622,0.7060133630289532,0.7262313860252004,0.37826453243470937,0.35720303285593935
SPY,Regime-Switch,0.7084188911704312,0.7683741648106904,0.7371794871794872,0.37826453243470937,0.4102780117944398
SPY,Calibrated RF,0.7084188911704312,0.7683741648106904,0.7371794871794872,0.37826453243470937,0.4102780117944398
TLT,Baseline,0.6276391554702495,0.6288461538461538,0.6282420749279539,0.43807919123841615,0.43892165122156696
TLT,ETS,0.5888030888030888,0.5865384615384616,0.5876685934489403,0.43807919123841615,0.43639427127211455
TLT,ARIMA,0.6287128712871287,0.48846153846153845,0.5497835497835498,0.43807919123841615,0.34035383319292334
TLT,"GARCH(1,1)",0.601027397260274,0.675,0.6358695652173914,0.43807919123841615,0.4919966301600674
TLT,Random Forest,0.7120181405895691,0.6038461538461538,0.6534859521331946,0.43807919123841615,0.37152485256950296
TLT,Stacked (RF+GARCH),0.7120181405895691,0.6038461538461538,0.6534859521331946,0.43807919123841615,0.37152485256950296
TLT,Regime-Switch,0.7474747474747475,0.5692307692307692,0.6462882096069869,0.43807919123841615,0.33361415332771693
TLT,Calibrated RF,0.7474747474747475,0.5692307692307692,0.6462882096069869,0.43807919123841615,0.33361415332771693
